date,series,log_return,hl_range,gap,log_volume,close
2015-02-10,CIPLA.NS,1.6538559014914793,3.056502585055136,0.05558163702719122,14.422450946859898,592.3062744140625
2015-02-11,CIPLA.NS,-0.5796860067823167,1.533229734383565,-1.7753391989236566e-05,14.329426402077242,588.8826904296875
2015-02-12,CIPLA.NS,3.7318485489569015,5.006435946838391,0.7123706595404773,15.20731371775191,611.2741088867188
2015-02-13,CIPLA.NS,0.9940528789192024,6.299613669252762,0.052958035624487296,15.667607392068165,617.3807983398438
2015-02-16,CIPLA.NS,0.6423607510845469,1.6185703732160581,0.45605074857752714,13.870591370640339,621.359375
2015-02-18,CIPLA.NS,0.9042373671115412,2.4343642072764164,0.17108903594336886,13.790593695231719,627.00341796875
2015-02-19,CIPLA.NS,0.7058573474238603,2.9178852966794606,0.7864150855753698,14.405061221660835,631.44482421875
2015-02-20,CIPLA.NS,-0.9570285634313475,2.4129383570150824,0.5479735709866783,14.09613402698608,625.4305419921875
2015-02-23,CIPLA.NS,-1.0110907942259264,2.7179776442066443,0.30280932705671204,13.845366403462743,619.1387329101562
2015-02-24,CIPLA.NS,1.210617304400949,1.42266414885997,0.5737214490958454,13.521869432236686,626.6796875
2015-02-25,CIPLA.NS,-0.14036602921062605,2.0271213057957986,0.33164787074313784,13.670494034426161,625.8006591796875
2015-02-26,CIPLA.NS,-2.530440877295107,3.9299823638929055,0.6117240535748368,14.377770276205018,610.163818359375
2015-02-27,CIPLA.NS,1.5647586520540255,3.242549939693186,0.44634561726327304,14.30585772211086,619.7864990234375
2015-03-02,CIPLA.NS,6.795212972850753,6.209556649074189,2.024579806083936,14.616102630359928,663.3662109375
2015-03-03,CIPLA.NS,2.0638034174942463,3.24695421461278,0.4245320220761204,14.66825683445374,677.1990356445312
2015-03-04,CIPLA.NS,-0.6648867109246079,3.4709166372015416,0.5586017449945696,14.496476851829984,672.7113647460938
2015-03-05,CIPLA.NS,1.6979157992620373,2.9090027387545647,0.40494099842027387,14.43798470635748,684.23095703125
2015-03-09,CIPLA.NS,-0.7192786242132732,1.690986245009729,8.219685565049845e-07,13.695453689107472,679.3270874023438
2015-03-10,CIPLA.NS,-0.6490775680298816,3.7694317485523423,0.7868568265443574,14.614862897370536,674.9320068359375
2015-03-11,CIPLA.NS,-1.6239084373675245,3.455872017287341,0.6218272796271298,14.320259757601665,664.0602416992188
2015-03-12,CIPLA.NS,0.3477414508388018,2.362861839344517,0.20184393425075478,14.493820712199879,666.3734741210938
2015-03-13,CIPLA.NS,-2.2963814998667162,3.7169701520855254,0.6642609268490437,13.84699856605211,651.245361328125
2015-03-16,CIPLA.NS,-1.4597873240772221,3.4788635137445527,0.32622951245308385,14.830107703719724,641.8076171875
2015-03-17,CIPLA.NS,2.4071874564143236,2.739699935609819,0.6824613188492608,14.421202626735228,657.444580078125
2015-03-18,CIPLA.NS,0.1968433005140921,1.7846993930019441,0.4843693971810923,14.20079132593318,658.739990234375
2015-03-19,CIPLA.NS,-0.22500471546729825,2.960284963427868,0.5672347856948114,14.344554613674891,657.2594604492188
2015-03-20,CIPLA.NS,-1.4963174598521056,3.491488591128501,0.4915084946170199,14.443815704664654,647.4979858398438
2015-03-23,CIPLA.NS,0.2141342454785379,2.6027193340017405,0.5273480872654519,13.624098204811517,648.885986328125
2015-03-24,CIPLA.NS,1.2681134637708231,2.1877770277167494,-0.07846960516912926,13.792115003829778,657.1669921875
2015-03-25,CIPLA.NS,0.16881775927248796,1.705607153419483,0.5826083179572107,13.976839980278807,658.27734375
2015-03-26,CIPLA.NS,-1.4868432758453936,2.849561739144632,-0.13360604508246673,14.784386149795967,648.5621948242188
2015-03-27,CIPLA.NS,-0.9964840592923414,3.12301380986489,0.8593864796844936,14.544420074533067,642.1314697265625
2015-03-30,CIPLA.NS,1.1746512713022073,2.254643602906537,0.15839165780553985,14.29344887415579,649.71875
2015-03-31,CIPLA.NS,1.4491494109710008,2.4614257304351175,0.3979545546303238,14.6341350968133,659.2026977539062
2015-04-01,CIPLA.NS,-0.40085319406089565,1.7813016680709397,0.2173033808993178,14.34248331230264,656.5655517578125
2015-04-06,CIPLA.NS,3.6053159928313967,3.798752478457058,0.618162693688035,14.714834565565356,680.668701171875
2015-04-07,CIPLA.NS,-1.0178801412399132,3.0402433209934743,0.5895632281188565,14.317967461471403,673.7754516601562
