seed,method,eval_domain,MSE,MAE,MASE,key_RMSE,key_MAE,feat_mmd
1,care,source,0.3647991418838501,0.4118485748767853,1.0339105129241943,1.9060395956039429,1.4611449241638184,0.03809809684753418
1,care,target,0.16676053404808044,0.27575045824050903,0.9352037906646729,4.533684253692627,3.4829533100128174,0.03809809684753418
1,care_noalign,source,0.3735002875328064,0.41875579953193665,1.052042007446289,1.8999422788619995,1.4521398544311523,0.53212571144104
1,care_noalign,target,0.18084517121315002,0.28964346647262573,0.9839144349098206,4.823062896728516,3.74115252494812,0.53212571144104
1,care_nossl,source,0.3553076684474945,0.4034458100795746,1.0115275382995605,1.8961617946624756,1.4538131952285767,0.06511330604553223
1,care_nossl,target,0.15942196547985077,0.26821762323379517,0.9094465970993042,4.3227386474609375,3.280078411102295,0.06511330604553223
1,care_noanchor,source,0.37546318769454956,0.4206508696079254,1.0588481426239014,1.9223334789276123,1.4679023027420044,0.046256065368652344
1,care_noanchor,target,0.17178045213222504,0.2807675302028656,0.9515116810798645,4.688069820404053,3.6159114837646484,0.046256065368652344
1,oracle_finetune,source,0.38357043266296387,0.42489662766456604,1.066203236579895,1.8999377489089966,1.4473804235458374,0.1196279525756836
1,oracle_finetune,target,0.16853928565979004,0.27268579602241516,0.9243976473808289,4.326738357543945,3.237954616546631,0.1196279525756836
1,target_only,source,0.5034070014953613,0.4963546395301819,1.243672490119934,2.176846981048584,1.6860376596450806,0.12291431427001953
1,target_only,target,0.1791953593492508,0.28374987840652466,0.9612521529197693,4.556244373321533,3.4427993297576904,0.12291431427001953
2,source_only,source,0.38661766052246094,0.4284682273864746,1.0772958993911743,1.9442424774169922,1.4760409593582153,0.1109018325805664
2,source_only,target,0.17636914551258087,0.2853012681007385,0.9691286087036133,4.698567867279053,3.6359784603118896,0.1109018325805664
2,dann,source,0.42514514923095703,0.44956478476524353,1.1313170194625854,2.024862289428711,1.5216494798660278,0.5680820941925049
2,dann,target,0.19374816119670868,0.3009120523929596,1.020121455192566,5.293359279632568,4.111954689025879,0.5680820941925049
2,coral,source,0.4374677538871765,0.4549456834793091,1.1470417976379395,2.065246820449829,1.5529453754425049,0.06154942512512207
2,coral,target,0.19428813457489014,0.29970476031303406,1.0171934366226196,5.438891410827637,4.19651460647583,0.06154942512512207
2,mmd,source,0.382632315158844,0.42178598046302795,1.0605868101119995,1.9427142143249512,1.4645589590072632,0.045073509216308594
2,mmd,target,0.16914041340351105,0.27807044982910156,0.9429135322570801,4.613382816314697,3.5534934997558594,0.045073509216308594
2,care,source,0.37551411986351013,0.4200335443019867,1.0562080144882202,1.928982138633728,1.4544005393981934,0.03690981864929199
2,care,target,0.17129018902778625,0.28096067905426025,0.9527512192726135,4.598038196563721,3.5437302589416504,0.03690981864929199
2,care_noalign,source,0.3873341977596283,0.42852240800857544,1.0774928331375122,1.9315766096115112,1.4537965059280396,0.40741872787475586
2,care_noalign,target,0.18893177807331085,0.2987026572227478,1.017103910446167,4.936244487762451,3.830522298812866,0.40741872787475586
2,care_nossl,source,0.3653630316257477,0.4123736023902893,1.0354151725769043,1.9165425300598145,1.4581400156021118,0.06602597236633301
2,care_nossl,target,0.16595979034900665,0.27522802352905273,0.9331101179122925,4.459078311920166,3.42751145362854,0.06602597236633301
2,care_noanchor,source,0.393189400434494,0.4306415021419525,1.0861613750457764,1.936102032661438,1.4550068378448486,0.04886174201965332
2,care_noanchor,target,0.1768772155046463,0.2852094769477844,0.9655715227127075,4.772365093231201,3.6915552616119385,0.04886174201965332
2,oracle_finetune,source,0.4270276427268982,0.4528198838233948,1.1352646350860596,1.899404764175415,1.4507718086242676,0.15929746627807617
2,oracle_finetune,target,0.16609734296798706,0.26955482363700867,0.9123026728630066,4.246065616607666,3.1233603954315186,0.15929746627807617
2,target_only,source,0.5086131691932678,0.4999621510505676,1.2511080503463745,2.241001605987549,1.7482099533081055,0.172715425491333
2,target_only,target,0.18137428164482117,0.2869682013988495,0.9723747968673706,4.615001678466797,3.5216147899627686,0.172715425491333
